Fish,Sex,Date,Origin,GnRH,Age,Spawner,Maturity,Plasmaprotein ,Totallength,Growthrate,Meangrowthrate,Totalweight,Condition,Gonadosomatic index,B.Li,B.K,B.Mg,B.Ca,B.Sr,B.Ba,B.Mn,B.Cu,B.Zn,B.Li.Ca,B.K.Ca,B.Mg.Ca,B.Sr.Ca,B.Ba.Ca,B.Mn.Ca,B.Cu.Ca,B.Zn.Ca,Sal,Temp,SW.Li,SW.K,SW.Mg,SW.Ca,SW.Sr,SW.Ba,SW.Mn,SW.Cu,SW.Zn,SW.Li.Ca,SW.K.Ca,SW.Mg.Ca,SW.Sr.Ca,SW.Ba.Ca,SW.Mn.Ca,SW.Cu.Ca,SW.Zn.Ca,Opacity,Otolithgrowthrate,Meanotolithgrowthrate,O.Li,O.K,O.Mg,O.Sr,O.Ba,O.Mn,O.Cu,O.Zn,O.Li.Ca,O.K.Ca,O.Mg.Ca,O.Sr.Ca,O.Ba.Ca,O.Mn.Ca,O.Cu.Ca,O.Zn.Ca
0154A,F,27/10/2009,EC,Non-treated,4,NS,M,2.767,33.5,0,0,350,0.93,0.73,75.29,84643.35,27467.9,176791.24,1029.35,46.84,15.69,1050.86,13956.94,2.46,490.78,256.2,2.66,0.0773,64.74,3.75,48.39,32.33,12.79,0.165,366.11,1218.02,376.31,6.89,0.018,0.569,0.0057,0.0044,2.53,997.55,5338.69,8.38,0.0138,1.09,0.0095,0.0072,0,1.82,0.51,0.21,583.06,8.23,2581.58,2.61,318.86,79.75,212.98,0.0031,1.49,0.034,2.95,1.9,0.58,0.13,0.33
0154A,F,23/11/2009,EC,Non-treated,4,NS,M,2.767,33.5,0,0,342,0.91,1.07,73.1,68764.52,25665.66,111901.35,668.98,5.37,36.87,482.43,9604.55,3.77,629.91,378.21,2.73,0.014,240.37,2.72,52.61,32.96,10.96,0.163,361.13,1204.64,371.3,6.8,0.018,0.531,0.0056,0.0037,2.53,997.42,5352.66,8.38,0.0139,1.03,0.0096,0.0061,0,0.41,0.51,0.21,613.25,5.4,2528.66,2.76,308.23,148.33,66.17,0.003,1.57,0.022,2.89,2.01,0.56,0.23,0.1
0154A,F,16/12/2009,EC,Non-treated,4,NS,M,2.941,33.5,0,0,376,1,3.14,76.41,51373.13,29050.4,122186.73,809.47,4.41,36.92,465.71,10194.87,3.61,430.99,392.05,3.03,0.0105,220.42,2.4,51.14,32.58,7.87,0.155,344.22,1151.09,356.36,6.5,0.017,0.413,0.0051,0.0031,2.5,990.23,5326.86,8.34,0.0137,0.86,0.009,0.0053,0,0.41,0.51,0.22,636.63,4.99,2758.46,3.18,388.12,123.94,61.74,0.0031,1.63,0.021,3.15,2.31,0.71,0.2,0.09
0154A,F,18/01/2010,EC,Non-treated,4,NS,M,3.009,33.5,0,0,336,0.89,3.79,64.44,69850.99,17610.95,95496.65,721.71,22.3,13.08,297.76,9152.75,3.9,749.78,304.09,3.46,0.0681,99.9,1.97,58.74,31.33,4.67,0.139,313.18,1047.29,325.19,5.89,0.014,0.462,0.0041,0.0024,2.47,987.13,5309.2,8.29,0.0129,1.06,0.0079,0.0044,0,0.62,0.51,0.26,707.04,4.89,3184.76,3.92,516.93,169.59,124.55,0.0037,1.81,0.02,3.64,2.85,0.94,0.27,0.19
0154A,F,01/02/2010,EC,Non-treated,4,NS,M,3.742,33.5,0,0,327,0.85,4.65,65.91,66211.33,28951.78,118698.78,912.71,39.9,28.14,315.28,9331.6,3.21,571.79,402.2,3.52,0.0981,172.98,1.68,48.18,30.86,4.53,0.137,308.28,1029.99,320.54,5.8,0.014,0.555,0.0039,0.0022,2.47,985.92,5298.45,8.27,0.0126,1.27,0.0076,0.004,0,0.62,0.51,0.25,690.88,4.83,3349.67,4.25,546.04,282.73,152.83,0.0036,1.77,0.02,3.82,3.1,0.99,0.45,0.23
0154A,F,15/02/2010,EC,Non-treated,4,NS,M,2.766,33.5,0,0,342,0.91,5.85,71.48,32540.57,20160.84,116571.88,802.62,3.03,36.78,237.15,8127.15,3.54,286.14,285.18,3.15,0.0076,230.16,1.28,42.73,30.62,4.39,0.137,308.85,1030.87,321.39,5.81,0.014,0.639,0.0038,0.0021,2.46,985.23,5290.02,8.27,0.0125,1.49,0.0076,0.0039,0,0.62,0.51,0.23,673.51,5.19,3494.24,4.56,579.89,389.08,190.38,0.0034,1.72,0.021,3.99,3.32,1.06,0.61,0.29
0154A,F,15/03/2010,EC,Non-treated,4,NS,M,3.055,33.5,0,0,332,0.88,7.21,70.96,89399.11,20476.18,122133.53,914.18,8.93,23.05,257.57,9219.22,3.35,750.33,276.45,3.42,0.0213,137.65,1.33,46.27,30.44,5.68,0.139,312.17,1040.64,322.62,5.86,0.014,0.817,0.0041,0.0026,2.48,992,5320.72,8.31,0.0125,1.91,0.0079,0.0051,0,0.21,0.51,0.21,650.47,6.32,3640.63,4.91,711.2,401.07,305.35,0.0031,1.66,0.026,4.16,3.57,1.3,0.63,0.47
0154A,F,19/04/2010,EC,Non-treated,4,NS,M,3.19,33.5,0,0,338,0.9,13.32,67.96,31353.71,22856.33,120790.9,973.84,8.09,33.44,266.42,10136.33,3.25,266.08,312.02,3.69,0.0195,201.97,1.39,51.43,30.25,9.03,0.142,317.6,1056.12,327.11,5.96,0.014,1.015,0.0049,0.0037,2.51,995.56,5327.48,8.34,0.0128,2.31,0.0086,0.0069,0,0.31,0.51,0.21,631,6.46,3619.84,4.95,925.69,191.06,482.59,0.003,1.61,0.027,4.13,3.61,1.69,0.3,0.74
0154A,F,28/05/2010,EC,Non-treated,4,NS,M,2.7335,33.5,0,0,293,0.78,2.88,68.19,33566.05,25120.26,118307.21,1117.1,6.19,17.45,399.27,10915.14,3.33,290.47,349.2,4.31,0.0153,107.74,2.13,56.36,30.9,12.34,0.153,333.34,1104.09,346.22,6.27,0.016,1.204,0.0058,0.0054,2.55,987.36,5261.55,8.3,0.0136,2.59,0.0094,0.0097,0,0.31,0.51,0.2,597.18,6.53,NA,NA,NA,NA,NA,0.0029,1.53,0.027,NA,NA,NA,NA,NA
93D10,F,27/10/2009,EC,Non-treated,5,NS,IM,4.222,32,0,0.154929577,336,1.03,1.94,78.77,22819.84,30339.39,146721.06,1086.47,12.16,39.7,1348.74,13729.73,3.1,159.43,340.98,3.39,0.0242,197.4,5.8,57.35,32.33,12.79,0.165,366.11,1218.02,376.31,6.89,0.018,0.569,0.0057,0.0044,2.53,997.55,5338.69,8.38,0.0138,1.09,0.0095,0.0072,1,3.18,1.34,0.28,536.01,15.77,2887.38,5.13,970.3,253.4,494.23,0.0041,1.37,0.065,3.3,3.74,1.77,0.4,0.76
93D10,F,23/11/2009,EC,Non-treated,5,NS,IM,3.089,32,0,0.154929577,336,1.03,2.35,67.07,35120.93,35025,123426.29,758.92,8.09,46.59,807.79,10435.92,3.14,291.68,467.93,2.81,0.0191,275.36,4.13,51.82,32.96,10.96,0.163,361.13,1204.64,371.3,6.8,0.018,0.531,0.0056,0.0037,2.53,997.42,5352.66,8.38,0.0139,1.03,0.0096,0.0061,1,0.71,1.34,0.3,621.78,15.46,2912.95,5.53,1262.16,318,504.29,0.0043,1.59,0.064,3.33,4.03,2.3,0.5,0.77
93D10,F,16/12/2009,EC,Non-treated,5,NS,IM,3.957,32.3,0.130434783,0.154929577,345,1.02,1.95,68.72,23799.03,32717.43,153431.13,873.72,3.8,39.31,539.61,10730.79,2.59,159,351.62,2.6,0.0072,186.89,2.22,42.87,32.58,7.87,0.155,344.22,1151.09,356.36,6.5,0.017,0.413,0.0051,0.0031,2.5,990.23,5326.86,8.34,0.0137,0.86,0.009,0.0053,1,0.71,1.34,0.29,611.55,19.57,2885.79,5.32,1395.93,267.94,398.53,0.0042,1.56,0.081,3.29,3.88,2.54,0.42,0.61
93D10,F,18/01/2010,EC,Non-treated,5,NS,IM,4.861,32.7,0.121212121,0.154929577,342,0.98,2.42,55.08,26665.14,28015.89,242997.75,1429.66,10.03,37.92,566.92,12223.08,1.31,112.48,190.11,2.69,0.012,113.83,1.47,30.83,31.33,4.67,0.139,313.18,1047.29,325.19,5.89,0.014,0.462,0.0041,0.0024,2.47,987.13,5309.2,8.29,0.0129,1.06,0.0079,0.0044,1,0.85,1.34,0.29,573.99,31.37,2744.87,5.03,1565.96,216.07,280.21,0.0042,1.47,0.129,3.13,3.67,2.85,0.34,0.43
93D10,F,01/02/2010,EC,Non-treated,5,NS,IM,5.0775,33.1,0.285714286,0.154929577,356,0.98,2.85,52.95,25107.71,23784.31,250397.78,1482.21,10.77,40.67,577.3,13860.04,1.22,102.78,156.63,2.71,0.0126,118.5,1.45,33.93,30.86,4.53,0.137,308.28,1029.99,320.54,5.8,0.014,0.555,0.0039,0.0022,2.47,985.92,5298.45,8.27,0.0126,1.27,0.0076,0.004,1,0.84,1.34,0.29,581.9,31.12,2659.79,4.83,1729.43,177.86,264.63,0.0041,1.49,0.128,3.04,3.51,3.15,0.28,0.4
93D10,F,15/03/2010,EC,Non-treated,5,NS,IM,4.82,33.7,0.142857143,0.154929577,382,1,1.62,48.64,13025.97,29359.25,184387.55,1099.68,13.53,47.69,748.53,18451.98,1.52,72.42,262.56,2.73,0.0214,188.69,2.56,61.33,30.44,5.68,0.139,312.17,1040.64,322.62,5.86,0.014,0.817,0.0041,0.0026,2.48,992,5320.72,8.31,0.0125,1.91,0.0079,0.0051,1,0.84,1.34,0.29,625.31,21.23,2555.51,4.31,2357.58,177.91,203.81,0.0041,1.6,0.087,2.92,3.14,4.29,0.28,0.31
93D10,F,19/04/2010,EC,Non-treated,5,NS,IM,4.227,34.5,0.228571429,0.154929577,420,1.02,1.28,55.7,11921.04,30356.66,137713.51,787.47,15.22,59.62,608.14,15925.23,2.34,88.73,363.49,2.62,0.0322,315.83,2.79,70.88,30.25,9.03,0.142,317.6,1056.12,327.11,5.96,0.014,1.015,0.0049,0.0037,2.51,995.56,5327.48,8.34,0.0128,2.31,0.0086,0.0069,0,5.52,1.34,0.26,592.9,22.69,2582.71,4.26,2665.08,327.4,531.75,0.0038,1.52,0.093,2.95,3.1,4.85,0.52,0.81
93D10,F,28/05/2010,EC,Non-treated,5,NS,IM,3.521,35.3,0.205128205,0.154929577,443,1.01,1.34,68.73,19549.09,29186.96,141869.41,783.78,8.11,18.5,630.6,15646.46,2.8,141.25,339.24,2.53,0.0167,95.15,2.8,67.6,30.9,12.34,0.153,333.34,1104.09,346.22,6.27,0.016,1.204,0.0058,0.0054,2.55,987.36,5261.55,8.3,0.0136,2.59,0.0094,0.0097,0,0.61,1.34,0.32,506.35,20.47,NA,NA,NA,NA,NA,0.0045,1.3,0.084,NA,NA,NA,NA,NA
D5835,F,02/06/2009,IS,Treated,6,S,M,3.831,31.2,0,0.033240997,251,0.83,6,68.08,77556.47,28818.48,121310.95,1040.14,4.97,9.21,600.71,13314.2,3.24,655.62,391.88,3.92,0.012,55.46,3.12,67.29,32.4,14.47,0.156,341.49,1138.55,349.65,6.42,0.014,0.687,0.0062,0.004,2.58,1000.82,5366.68,8.4,0.012,1.41,0.0109,0.007,0,0.37,0.37,0.14,319.15,5.84,2857.11,1.74,36.84,126.49,56.14,0.002,0.82,0.024,3.26,1.27,0.07,0.2,0.09
D5835,F,08/07/2009,IS,Treated,6,S,M,3.542,31.5,0.083333333,0.033240997,263,0.84,5.79,77.2,87556.63,27123.34,123051.97,1074.97,10.11,24.07,556.23,13786.84,3.62,729.38,363.47,4,0.024,142.67,2.85,68.67,32.15,13.33,0.161,352.65,1170.67,365.91,6.64,0.017,0.66,0.0069,0.0052,2.55,987.88,5275.71,8.3,0.0135,1.32,0.012,0.0087,0,0.37,0.37,0.16,351.45,6.56,2477.75,1.43,37.36,88.02,70.24,0.0023,0.9,0.027,2.83,1.04,0.07,0.14,0.11
D5835,F,06/08/2009,IS,Treated,6,S,M,3.458,31.5,0,0.033240997,267,0.85,4.76,57.64,169050.37,26443.85,118051.39,1024.16,3.04,18.14,610.99,11735.06,2.82,1467.9,369.37,3.97,0.0075,112.08,3.26,60.93,32.37,13.67,0.164,360.78,1195.75,375.17,6.78,0.018,0.6,0.007,0.0057,2.53,985.68,5255.3,8.27,0.0143,1.18,0.0118,0.0093,0,0.37,0.37,0.17,369.6,6.95,2248.43,1.24,41.75,67.67,80.61,0.0024,0.95,0.029,2.57,0.9,0.08,0.11,0.12
D5835,F,30/09/2009,IS,Treated,6,S,M,3.639,31.7,0.036363636,0.033240997,295,0.93,6.81,69.66,72391.34,21924.2,122180.49,996.07,4.45,9.66,802.23,11736.49,3.29,607.35,295.89,3.73,0.0106,57.68,4.14,58.87,32.58,12.22,0.166,367.69,1220.97,378.95,6.9,0.018,0.56,0.006,0.0055,2.53,994.79,5313.86,8.33,0.0141,1.09,0.01,0.0088,0,0.37,0.37,0.17,368.34,6.69,1953.36,0.97,66.23,55.94,99.4,0.0025,0.94,0.028,2.23,0.71,0.12,0.09,0.15
D5835,F,26/10/2009,IS,Treated,6,S,M,3.298,31.7,0,0.033240997,294,0.92,5.27,63.83,35007.68,23765.52,118292.39,1043.73,29.93,11.41,726.15,10555.47,3.12,303.45,331.36,4.04,0.0739,70.41,3.87,54.69,32.33,12.79,0.165,366.11,1218.02,376.31,6.89,0.018,0.569,0.0057,0.0044,2.53,997.55,5338.69,8.38,0.0138,1.09,0.0095,0.0072,0,0.37,0.37,0.17,356.47,6.23,1890.39,0.9,83.42,62.44,107.45,0.0025,0.91,0.026,2.16,0.66,0.15,0.1,0.16
D5835,F,23/11/2009,IS,Treated,6,S,M,3.123,32,0.107142857,0.033240997,319,0.97,5.44,74.14,36934.88,26762.65,151497.43,1113.86,7.99,12.44,826.82,10639.77,2.83,249.91,291.3,3.36,0.0154,59.93,3.44,43.04,32.96,10.96,0.163,361.13,1204.64,371.3,6.8,0.018,0.531,0.0056,0.0037,2.53,997.42,5352.66,8.38,0.0139,1.03,0.0096,0.0061,0,0.37,0.37,0.18,375.91,6.83,1995.15,0.94,89.96,76.09,111.63,0.0025,0.96,0.028,2.28,0.68,0.16,0.12,0.17
D5835,F,16/12/2009,IS,Treated,6,S,M,4.702,32.2,0.086956522,0.033240997,360,1.08,10.24,79.63,46840.64,29803.58,187778.87,1475.62,10.1,14,1055.62,12942.76,2.45,255.7,261.72,3.59,0.0157,54.4,3.55,42.24,32.58,7.87,0.155,344.22,1151.09,356.36,6.5,0.017,0.413,0.0051,0.0031,2.5,990.23,5326.86,8.34,0.0137,0.86,0.009,0.0053,0,0.37,0.37,0.18,400.94,7.25,2416.74,1.15,79.69,87.64,99.42,0.0026,1.03,0.03,2.76,0.84,0.15,0.14,0.15
D5835,F,18/01/2010,IS,Treated,6,S,M,4.046,32.2,0,0.033240997,347,1.04,11.6,63.16,39718.49,18398.84,148965.98,1254.06,4.63,35.21,696.4,8528.19,2.45,273.31,203.66,3.85,0.0091,172.44,2.95,35.09,31.33,4.67,0.139,313.18,1047.29,325.19,5.89,0.014,0.462,0.0041,0.0024,2.47,987.13,5309.2,8.29,0.0129,1.06,0.0079,0.0044,0,0.37,0.37,0.2,449.24,7.15,3158.54,1.53,50.08,104.79,74.94,0.0029,1.15,0.029,3.61,1.12,0.09,0.17,0.11
D5835,F,01/02/2010,IS,Treated,6,S,M,4.043,32.2,0,0.033240997,337,1.01,11.86,70.48,94016.63,17739.58,150030.45,1364.11,20.64,29.25,731.72,9905.51,2.71,642.36,194.97,4.16,0.0402,142.22,3.08,40.47,30.86,4.53,0.137,308.28,1029.99,320.54,5.8,0.014,0.555,0.0039,0.0022,2.47,985.92,5298.45,8.27,0.0126,1.27,0.0076,0.004,0,0.37,0.37,0.21,458.47,7.1,3538,1.78,36.1,128.54,71.72,0.003,1.17,0.029,4.04,1.3,0.07,0.2,0.11
D5835,F,15/02/2010,IS,Treated,6,S,M,3.832,32.4,0.142857143,0.033240997,362,1.06,12.26,67.08,51275.09,21987.4,159508.7,1393.75,9.62,27.28,653.14,8728.78,2.43,329.51,227.3,4,0.0176,124.75,2.58,33.54,30.62,4.39,0.137,308.85,1030.87,321.39,5.81,0.014,0.639,0.0038,0.0021,2.46,985.23,5290.02,8.27,0.0125,1.49,0.0076,0.0039,0,0.37,0.37,0.21,457.8,7.07,3566.64,1.87,23.28,154.53,86.71,0.0031,1.17,0.029,4.07,1.36,0.04,0.24,0.13
D5835,F,15/03/2010,IS,Treated,6,S,M,3.61,32.4,0,0.033240997,364,1.07,14.38,59.29,59157.12,24933.65,144484.44,1172.95,13.66,26.88,608.59,9531.63,2.37,419.7,284.56,3.71,0.0276,135.74,2.66,40.43,30.44,5.68,0.139,312.17,1040.64,322.62,5.86,0.014,0.817,0.0041,0.0026,2.48,992,5320.72,8.31,0.0125,1.91,0.0079,0.0051,0,0.37,0.37,0.22,451.89,7.05,3273.76,1.86,15.62,198.33,129.94,0.0032,1.16,0.029,3.74,1.36,0.03,0.31,0.2
D5835,F,19/04/2010,IS,Treated,6,S,M,3.659,32.4,0,0.033240997,371,1.09,25.69,61.51,18512.96,21817.33,134487.3,943.63,3.46,32.79,602.18,11915.29,2.65,141.54,268.33,3.22,0.0075,178.29,2.83,54.45,30.25,9.03,0.142,317.6,1056.12,327.11,5.96,0.014,1.015,0.0049,0.0037,2.51,995.56,5327.48,8.34,0.0128,2.31,0.0086,0.0069,0,0.37,0.37,0.24,456.79,7.18,3027.87,1.68,58.04,176.68,135.56,0.0035,1.17,0.03,3.46,1.23,0.11,0.28,0.21
D5835,F,28/05/2010,IS,Treated,6,S,M,3.783,32.4,0,0.033240997,335,0.98,7.74,56.71,23245.69,26553.93,127536.02,1063.13,7.56,19.14,652.94,10581.78,2.57,187.18,344.54,3.82,0.0174,109.65,3.24,50.83,30.9,12.34,0.153,333.34,1104.09,346.22,6.27,0.016,1.204,0.0058,0.0054,2.55,987.36,5261.55,8.3,0.0136,2.59,0.0094,0.0097,0,0.37,0.37,0.25,458.75,7.27,2966.58,1.55,93.97,141.19,121.22,0.0036,1.17,0.03,3.39,1.13,0.17,0.22,0.19
DAB84,F,02/06/2009,IS,Treated,5,S,M,1.827,28.9,0,0.132963989,197,0.82,0.95,66.58,65611.84,32330.1,113829.26,1337.2,8.5,10.23,312.18,12488.47,3.38,590.85,468.34,5.37,0.0218,65.58,1.73,67.24,32.4,14.47,0.156,341.49,1138.55,349.65,6.42,0.014,0.687,0.0062,0.004,2.58,1000.82,5366.68,8.4,0.012,1.41,0.0109,0.007,1,0.32,0.44,0.21,539.02,7.4,3675.1,3.57,692.06,191.86,221.53,0.003,1.38,0.03,4.2,2.6,1.26,0.3,0.34
DAB84,F,21/07/2009,IS,Treated,5,S,M,3.414,29.3,0.081632653,0.132963989,213,0.85,0.77,68.18,55378.96,23063.69,111744.57,931.66,8.27,20.49,458.88,15478.84,3.52,508.01,340.34,3.81,0.0216,133.75,2.59,84.9,32.16,13.19,0.163,356.4,1182.06,370.53,6.71,0.018,0.635,0.007,0.0055,2.54,985.91,5260.36,8.28,0.0139,1.26,0.0121,0.009,0,0.32,0.44,0.21,590.6,8.84,3240.82,3.29,700.82,183.49,268.28,0.003,1.51,0.036,3.7,2.39,1.28,0.29,0.41
DAB84,F,19/08/2009,IS,Treated,5,S,M,3.326,29.6,0.103448276,0.132963989,254,0.98,0.86,60.47,17146.19,24908.3,124158.05,847.28,31.04,23.91,541.86,16828.06,2.81,141.56,330.81,3.12,0.073,140.5,2.75,83.07,32.67,13.92,0.165,364.28,1207.02,378.17,6.84,0.019,0.566,0.0069,0.0058,2.52,987.46,5263.22,8.27,0.0145,1.11,0.0114,0.0095,0,0.32,0.44,0.21,591.62,8.85,2839.9,3.03,720.3,173.76,306.2,0.003,1.51,0.036,3.24,2.21,1.31,0.27,0.47
DAB84,F,30/09/2009,IS,Treated,5,S,M,4.305,30.5,0.214285714,0.132963989,304,1.07,1.2,72.32,86147.02,35810.82,157190.46,1066.58,5.36,20.69,614.12,17186.94,2.66,561.78,375.66,3.1,0.0099,96.01,2.46,67.01,32.58,12.22,0.166,367.69,1220.97,378.95,6.9,0.018,0.56,0.006,0.0055,2.53,994.79,5313.86,8.33,0.0141,1.09,0.01,0.0088,0,0.32,0.44,0.23,601.56,9.25,2549.28,2.84,765.21,161.27,319.54,0.0034,1.54,0.038,2.91,2.07,1.39,0.25,0.49
DAB84,F,26/10/2009,IS,Treated,5,S,M,4.19,30.9,0.153846154,0.132963989,301,1.02,1.41,69.12,30008.26,26966.22,150921.53,989.09,7.39,30,654.38,15072.27,2.64,203.82,294.63,3,0.0143,145.01,2.73,61.21,32.33,12.79,0.165,366.11,1218.02,376.31,6.89,0.018,0.569,0.0057,0.0044,2.53,997.55,5338.69,8.38,0.0138,1.09,0.0095,0.0072,0,0.95,0.44,0.24,600.09,8.47,2556.03,2.84,801.5,154.49,300.56,0.0035,1.53,0.035,2.92,2.07,1.46,0.24,0.46
DAB84,F,23/11/2009,IS,Treated,5,S,M,4.132,32,0.392857143,0.132963989,366,1.12,2.39,68.56,18837.76,28122.99,166095.55,976.91,11.67,45.1,675.54,11949.85,2.38,116.26,279.2,2.69,0.0205,198.11,2.57,44.1,32.96,10.96,0.163,361.13,1204.64,371.3,6.8,0.018,0.531,0.0056,0.0037,2.53,997.42,5352.66,8.38,0.0139,1.03,0.0096,0.0061,0,0.18,0.44,0.26,596.96,7.53,2788.68,2.98,841.55,147.93,245.26,0.0038,1.53,0.031,3.18,2.17,1.53,0.23,0.38
DAB84,F,16/12/2009,IS,Treated,5,S,M,4.859,32.8,0.347826087,0.132963989,438,1.24,5.75,71.21,11646.02,25300.99,169137.83,991.59,3.47,39.65,664.97,11062.11,2.43,70.58,246.66,2.68,0.006,171.02,2.48,40.09,32.58,7.87,0.155,344.22,1151.09,356.36,6.5,0.017,0.413,0.0051,0.0031,2.5,990.23,5326.86,8.34,0.0137,0.86,0.009,0.0053,0,0.18,0.44,0.29,607.83,7.77,3015.52,3.13,888.51,143.25,197.26,0.0042,1.55,0.032,3.44,2.28,1.62,0.23,0.3
DAB84,F,18/01/2010,IS,Treated,5,S,M,4.018,33.2,0.121212121,0.132963989,447,1.22,10.6,68.44,48819.98,28205.19,172975.2,1213.71,3.36,34.14,567.84,7949.72,2.28,289.31,268.88,3.21,0.0057,143.98,2.07,28.17,31.33,4.67,0.139,313.18,1047.29,325.19,5.89,0.014,0.462,0.0041,0.0024,2.47,987.13,5309.2,8.29,0.0129,1.06,0.0079,0.0044,0,0.27,0.44,0.28,629.58,8.24,3160.56,3.25,1000.68,137.85,165.97,0.004,1.61,0.034,3.61,2.37,1.82,0.22,0.25
DAB84,F,01/02/2010,IS,Treated,5,S,M,4.528,33.2,0,0.132963989,443,1.21,11.11,63.56,33076.15,29654.97,194594.07,1420.07,7.84,31.92,606.58,9054.97,1.89,174.24,251.29,3.34,0.0118,119.67,1.97,28.52,30.86,4.53,0.137,308.28,1029.99,320.54,5.8,0.014,0.555,0.0039,0.0022,2.47,985.92,5298.45,8.27,0.0126,1.27,0.0076,0.004,0,0.27,0.44,0.26,637.97,8.51,3178.69,3.29,1062.21,136.01,162.41,0.0038,1.63,0.035,3.63,2.39,1.93,0.21,0.25
DAB84,F,15/02/2010,IS,Treated,5,S,M,4.943,33.4,0.142857143,0.132963989,447,1.2,16.91,63.96,42468.95,23308.39,172968.95,1501.22,14.17,33.3,587.28,9015.24,2.14,251.68,222.22,3.97,0.0239,140.47,2.14,31.95,30.62,4.39,0.137,308.85,1030.87,321.39,5.81,0.014,0.639,0.0038,0.0021,2.46,985.23,5290.02,8.27,0.0125,1.49,0.0076,0.0039,0,0.27,0.44,0.25,645.15,8.89,3177.49,3.32,1131.44,134.44,163.49,0.0036,1.65,0.037,3.63,2.41,2.06,0.21,0.25
DAB84,F,15/03/2010,IS,Treated,5,S,M,4.301,33.4,0,0.132963989,442,1.19,20.8,59.84,13550.45,19295.36,133804.79,1240.67,18.29,42,575.57,9486.78,2.58,103.81,237.79,4.24,0.0399,228.98,2.71,43.46,30.44,5.68,0.139,312.17,1040.64,322.62,5.86,0.014,0.817,0.0041,0.0026,2.48,992,5320.72,8.31,0.0125,1.91,0.0079,0.0051,0,0.27,0.44,0.24,660.02,9.88,3117.06,3.35,1292.97,132.08,179.58,0.0035,1.69,0.041,3.56,2.44,2.36,0.21,0.27
DAB84,F,19/04/2010,IS,Treated,5,S,M,4.375,33.7,0.085714286,0.132963989,440,1.15,16.66,60.93,13043.6,23799.4,147423.89,1215.26,12.55,33.38,602.05,13207.55,2.39,90.71,266.26,3.77,0.0248,165.24,2.58,54.93,30.25,9.03,0.142,317.6,1056.12,327.11,5.96,0.014,1.015,0.0049,0.0037,2.51,995.56,5327.48,8.34,0.0128,2.31,0.0086,0.0069,0,0.27,0.44,0.28,732.2,10.64,2932.72,3.35,1538.13,130.61,225.8,0.0041,1.87,0.044,3.35,2.44,2.8,0.21,0.35
DAB84,F,28/05/2010,IS,Treated,5,S,M,3.857,33.7,0,0.132963989,406,1.06,2.22,66.56,12368.55,32232.51,138636.2,959.36,6.57,29.16,581.96,15611.15,2.77,91.45,383.38,3.17,0.0138,153.46,2.65,69.02,30.9,12.34,0.153,333.34,1104.09,346.22,6.27,0.016,1.204,0.0058,0.0054,2.55,987.36,5261.55,8.3,0.0136,2.59,0.0094,0.0097,0,3.05,0.44,0.31,729.19,11.5,2678.49,3.32,1786.53,130.65,288.52,0.0045,1.86,0.047,3.06,2.42,3.25,0.21,0.44
DB206,F,02/06/2009,IS,Treated,5,S,M,3.411,27,0,0.047091413,183,0.93,2.55,70.32,40751.7,36507.11,144954.2,1204.93,5.57,27.6,748.41,7783.18,2.8,288.18,415.3,3.8,0.0112,138.92,3.26,32.91,32.4,14.47,0.156,341.49,1138.55,349.65,6.42,0.014,0.687,0.0062,0.004,2.58,1000.82,5366.68,8.4,0.012,1.41,0.0109,0.007,0,0.11,0.63,0.22,705.2,8.96,3862.3,4.53,396.62,186.19,127.45,0.0032,1.8,0.037,4.41,3.3,0.72,0.29,0.19
DB206,F,08/07/2009,IS,Treated,5,S,M,4.169333333,27,0,0.047091413,189,0.96,2.76,67.94,33202.8,23106.5,116258.74,1160.46,6.86,59.14,557.16,7376.92,3.37,292.75,327.73,4.57,0.0172,371.12,3.02,38.89,32.15,13.33,0.161,352.65,1170.67,365.91,6.64,0.017,0.66,0.0069,0.0052,2.55,987.88,5275.71,8.3,0.0135,1.32,0.012,0.0087,0,0.11,0.63,0.21,598.36,6.9,3560.49,3.85,466.54,140.99,158.72,0.003,1.53,0.028,4.06,2.8,0.85,0.22,0.24
DB206,F,06/08/2009,IS,Treated,5,S,M,3.932,27.3,0.103448276,0.047091413,188,0.92,1.98,50.22,41126.1,22218.28,113620.68,1088.61,5.7,37.55,716.25,7560.62,2.55,371.03,322.45,4.38,0.0146,241.11,3.98,40.78,32.37,13.67,0.164,360.78,1195.75,375.17,6.78,0.018,0.6,0.007,0.0057,2.53,985.68,5255.3,8.27,0.0143,1.18,0.0118,0.0093,0,0.11,0.63,0.2,576.33,6.87,3389.05,3.63,469.44,128.98,188.83,0.0029,1.47,0.028,3.87,2.64,0.86,0.2,0.29
DB206,F,30/09/2009,IS,Treated,5,S,M,4.164,27.3,0,0.047091413,240,1.18,2.65,65.76,45393.08,53543.67,157966.75,1314.34,6.3,20.78,991.85,8324.65,2.4,294.56,558.92,3.81,0.0116,95.95,3.96,32.3,32.58,12.22,0.166,367.69,1220.97,378.95,6.9,0.018,0.56,0.006,0.0055,2.53,994.79,5313.86,8.33,0.0141,1.09,0.01,0.0088,0,0.28,0.63,0.23,735.71,12.26,3452.98,4.75,289.83,207.41,310.93,0.0033,1.88,0.05,3.94,3.46,0.53,0.33,0.48
