Year,MigDay,S1997,F,FP,Temp,Umar,Uap,Umay,WRI,PDO,NPGO,NPI,D4,S4,F4,FP4,T4,Umar4,Uap4,Umay4,WRI4,PDO4,NPGO4,NPI4,cumS4,D.sd,betaS
1995,178,-1,283.451,139,16.93333333,-37,2,69,0.5170154,0.203333333,-1.735,8.966666667,-10,-3,4.5543333,-6,1.88,-38,-5,18,0.0744706,1.486666666,-0.985,-1.950000003,-13.4,9.64118,-0.103721744
1996,178,-1,387.6633333,163,15.52666667,0,-53,34,0.6000339,1.025,-0.885,8.716666667,-2,-5.2,200.7633333,20,-2.824333333,-4,-42,-32,-0.0136527,0.456666667,-0.02,-0.25,-11.8,8.393193,-0.119144168
1997,182,-1,483.34,167,15.56,-42,-2,1,0.609808,0.668333333,-1.25,9.216666667,3,-1,254.931,29,-0.765,-7,62,5,0.184789,-0.143333334,0.885,-0.133333333,-12.8,10.405767,-0.096100557
1998,180,-3,305.88,151,17.069375,-1,9,20,0.4701612,1.173333333,0.895,8.05,4,0,110.8966667,-15,0.083708333,6,5,-2,0.3183755,0.181666666,2.83,-2.86666667,-12,10.20125,-0.294081608
1999,182,-0.2,344.5266667,148,15.93,-66,31,31,0.6656143,-0.473333333,1.92,11.85,4,-1,61.0756667,9,-1.003333333,-29,29,-38,0.1485989,-0.676666666,3.655,2.883333333,-14.4,9.457782,-0.021146607
2000,174,0,217.7033333,114,16.89,-13,0,7,0.7834588,-0.645,2.32,10.36666667,-4,-1,-169.96,-49,1.363333333,-13,53,-27,0.1834249,-1.67,3.205,1.650000003,-12.8,7.898089,0
2001,172,0,136.83,138,16.83333333,0,0,45,0.7101583,0.208333333,2.975,9.65,-10,-1,-346.51,-29,1.273333333,42,2,44,0.1003503,-0.46,4.225,0.433333333,-13.8,7.687926,0
2002,179,0,322.1433333,157,14.28333333,-6,17,14,0.2405063,-0.446666667,2.04,12,-1,-3,16.2633333,6,-2.786041667,-5,8,-6,-0.2296549,-1.62,1.145,3.95,-15,7.853048,0
2003,178,0,261.7366667,152,15.30333333,-82,-17,27,0.8445901,1.586666667,1.865,8.533333333,-4,-0.2,-82.79,4,-0.626666667,-16,-48,-4,0.1789758,2.06,-0.055,-3.316666667,-14.4,8.883482,0
2004,174,0,249.01,150,15.065,-5,1,16,0.7317514,0.55,0.38,8.583333333,0,0,31.3066667,36,-1.825,8,1,9,-0.0517074,1.195,-1.94,-1.783333337,-12.8,8.730761,0
2005,178,-2,197.8866667,139,16.725,-9,-10,-2,0.7800382,0.888333333,-0.79,9.266666667,6,0,61.0566667,1,-0.108333333,-9,-10,-47,0.0698799,0.68,-3.765,-0.383333333,-13.8,9.460244,-0.211411038
2006,177,-2,318.0566667,150,16.56333333,-68,1,29,0.6283161,0.47,-0.072166667,11.45,-2,0,-4.0866666,-7,2.28,-62,-16,15,0.3878098,0.916666667,-2.112166667,-0.55,-15,9.142447,-0.218759813
2007,174,0,219.5066667,134,16.77,-8,0,53,0.886593424,-0.018333333,0.4745,9.95,-4,0,-42.23,-18,1.466666667,74,17,26,0.042003324,-1.605,-1.3905,1.416666667,-14.4,9.608181,0
2008,175,-1,368.4433333,157,14.28666667,-9,9,34,0.853385224,-0.991666667,1.38101867,11.86666667,0,0,119.4333333,7,-0.778333333,-4,8,18,0.121633824,-1.541666667,1.00101867,3.283333337,-12.8,6.690334,-0.149469369
2009,176,-1,283.6666667,160,16.98333333,-5,25,13,0.828698643,-1.323333333,0.50739665,14.73333333,-2,-2,85.77999997,21,0.258333333,4,35,15,0.048660443,-2.211666666,1.29739665,5.466666663,-15.8,7.597702,-0.131618745
2010,175,0,326.2066667,163,15.36,-29,0,9,0.862416127,0.595,1.327225,8.6,-2,-2,8.149999967,13,-1.203333333,39,-1,-20,0.234100027,0.125,1.399391667,-2.85,-17,7.162119,0
